songname,key
addicted_to_you,C# minor
a_day_in_the_life,G major
africa,A major
alle_meine_entchen,C major
all_of_me,G# major
back_to_friends,C# major
birds_of_a_feather,D major
blinding_lights,C minor
crazy,C minor
cant_help_falling_in_love,C major
come_together,D major
dancin,A# minor
demons,D# major
desperado,F minor
die_with_a_smile,F# minor
dont_look_back_in_anger,C major
experience,F# minor
eine_kleine_nachtmusik,D major
game_of_thrones,C minor
habits,F major
hakuna_matata,C major
hey_jude,F major
hes_a_pirate,D minor
ho_hey,C major
interstellar,A minor
iris,D major
i_wanna_be_yours,C minor
nur_ein_wort,B major
oceans,D major
on_the_nature_of_daylight,A# minor
ordinary,D major
river_flows_in_you,A major
sail,D# minor
sailor_song,B major
save_your_tears,C major
see_you_again,A# major
stressed_out,C major
sweater_weather,G minor
somewhere_over_the_rainbow,C major
time,E minor
the_monster,C# minor
the_night_we_met,A major
wake_me_up,B minor
wake_me_up_when_september_ends,G major
welcome_home,D# minor
while_my_guitar_gently_weeps,A minor
yesterday,F major
westworld,A minor
light_of_the_seven,C minor
mw2,D minor
numb,F# minor
21guns,D minor
american_idiot,G# major
boulevard_of_broken_dreams,F minor
emptiness_machine,D minor
breaking_the_habit,E minor
crawling,C# minor
intro,A minor
shape_of_you,C# minor
a_team,A major
dont,F minor
summertime_sadness,C# minor
american,G major
ocean_eyes,G major
when_the_party_is_over,E major
bellyache,E minor
breezeblocks,F major
something_good,G major
every_other_freckle,A minor
stolen_dance,G# minor
living_in_a_haze,A# minor
locked_out_of_heaven,F major
count_on_me,C major
grenade,F major
back2life,D minor
same_love,D# major
redbone,D# minor
can_you_hear_the_music,E minor
hello,F minor
rolling_in_the_deep,C minor
someone_like_you,A major
youve_got_the_love,F# major
dirty_paws,D# major
king_and_lionheart,D# major
little_talks,C# major
birds,C# minor
bad_liar,C minor
believer,A# minor
take_me_to_church,E minor
too_sweet,G minor
cherry_wine,C# major
heathens,E minor
chlorine,A# minor
ride,F# major
another_love,E minor
circles,C major
chemical,D major
congratulations,F# major
heat_waves,B major
